时间                 ,期数         ,开奖结果
2020-02-18 23:09:05,20200218121,"01,09,10,08,04,06,07,05,02,03"
2020-02-18 23:14:05,20200218122,"06,04,03,09,08,07,02,01,10,05"
2020-02-18 23:19:05,20200218123,"05,04,01,09,02,10,07,06,03,08"
2020-02-18 23:24:05,20200218124,"01,02,07,04,08,09,06,05,10,03"
2020-02-18 23:29:05,20200218125,"07,01,08,10,09,02,03,04,05,06"
2020-02-18 23:34:05,20200218126,"01,04,08,05,10,02,06,07,09,03"
2020-02-18 23:39:05,20200218127,"03,06,05,01,04,09,10,08,02,07"
2020-02-18 23:44:05,20200218128,"06,02,09,03,04,01,05,08,10,07"
2020-02-18 23:49:05,20200218129,"02,05,04,06,01,07,10,03,09,08"
2020-02-18 23:54:05,20200218130,"03,01,05,02,09,04,08,07,06,10"
2020-02-18 23:59:05,20200218131,"01,09,07,08,10,04,03,02,05,06"
2020-02-19 00:04:05,20200218132,"04,02,01,08,10,09,06,05,03,07"
2020-02-19 00:09:05,20200218133,"05,06,07,02,09,04,03,10,08,01"
2020-02-19 00:14:05,20200218134,"05,08,06,09,10,07,01,03,04,02"
2020-02-19 00:19:05,20200218135,"08,01,02,06,05,09,04,10,03,07"
2020-02-19 00:24:05,20200218136,"10,06,01,08,04,07,05,03,09,02"
2020-02-19 00:29:05,20200218137,"09,08,01,04,06,05,07,02,03,10"
2020-02-19 00:34:05,20200218138,"08,03,05,06,07,02,01,09,10,04"
2020-02-19 00:39:05,20200218139,"06,07,09,02,10,04,03,05,01,08"
2020-02-19 00:44:05,20200218140,"05,10,03,06,04,08,01,02,09,07"
2020-02-19 00:49:05,20200218141,"08,02,07,03,06,04,05,09,01,10"
2020-02-19 00:54:05,20200218142,"08,07,06,04,05,09,01,10,02,03"
2020-02-19 00:59:05,20200218143,"09,08,01,03,05,04,06,10,02,07"
2020-02-19 01:04:05,20200218144,"10,02,06,09,01,08,07,05,04,03"
2020-02-19 01:09:05,20200218145,"06,09,05,01,02,04,08,10,07,03"
2020-02-19 01:14:05,20200218146,"07,10,09,06,04,03,02,01,05,08"
2020-02-19 01:19:05,20200218147,"06,02,05,01,04,07,08,10,09,03"
2020-02-19 01:24:05,20200218148,"03,04,07,10,02,08,05,01,06,09"
2020-02-19 01:29:05,20200218149,"08,01,05,03,06,02,10,07,04,09"
2020-02-19 01:34:05,20200218150,"10,07,03,08,04,01,06,02,09,05"
2020-02-19 01:39:05,20200218151,"04,01,05,10,02,07,09,06,03,08"
2020-02-19 01:44:05,20200218152,"10,03,07,04,02,09,06,01,05,08"
2020-02-19 01:49:05,20200218153,"07,05,04,08,06,09,02,03,01,10"
2020-02-19 01:54:05,20200218154,"03,09,05,01,06,08,07,04,10,02"
2020-02-19 01:59:05,20200218155,"07,03,04,09,01,08,05,06,02,10"
2020-02-19 02:04:05,20200218156,"10,07,01,06,03,02,04,08,09,05"
2020-02-19 02:09:05,20200218157,"05,06,10,07,04,08,01,09,02,03"
2020-02-19 02:14:05,20200218158,"03,09,07,06,10,08,01,04,02,05"
2020-02-19 02:19:05,20200218159,"05,03,04,10,07,09,02,06,08,01"
2020-02-19 02:24:05,20200218160,"06,09,03,02,01,04,07,08,10,05"
2020-02-19 02:29:05,20200218161,"07,10,04,05,03,06,08,09,01,02"
2020-02-19 02:34:05,20200218162,"03,05,08,04,07,06,01,09,02,10"
2020-02-19 02:39:05,20200218163,"01,02,07,04,09,06,08,10,05,03"
2020-02-19 02:44:05,20200218164,"04,02,08,01,03,05,10,09,06,07"
2020-02-19 02:49:05,20200218165,"08,01,04,02,05,09,10,07,03,06"
2020-02-19 02:54:05,20200218166,"10,05,02,01,08,07,03,04,06,09"
